Abril de 2025
DATA,HORÁRIO,ATIVIDADE,LOCAL
"01, 02, 08 e 09/04/2025",18h às 22h,                                             Oficina de Licenciamento Ambiental e a Educação Ambiental para Gestão Pública - Turma 1             Rio das Ostras,Sede Pescarte Rio das Ostras
"01, 03, 08 e 10/04/2025",14h às 18h,                                        Oficina de Licenciamento Ambiental e a Educação Ambiental para Gestão Pública - Turma 1                 Campos dos Goytacazes,Escola Municipal Cláudia Almeida Farol de São Thomé
"01, 08 e 15/04/2025",18h às 22h,                                            Oficina de Letramento Digital - Turma 2                      Cabo Frio       ,                           Sede Pescarte Cabo Frio
"01, 08, 15 e 22/04/2025",18h às 22h,                                        Oficina de Licenciamento Ambiental e a Educação Ambiental para Gestão Pública - Turma 1        Búzios,Sede Pescarte Búzios
"02, 04, 09 e 11/04/2025",14h às 18h,                                        Oficina de Licenciamento Ambiental e a Educação Ambiental para Gestão Pública – Turma 1 Quissamã,Barra do Furado Casa do Sr. Vilton
"02, 04, 09 e 11/04/2025",15h às 19h,"                                           Oficina em Gestão de Empreendimentos Solidários, Controle Social e Contábil dos Empreendimentos Populares - Turma 2 Campos dos Goytacazes ",Escola Municipal Ponta da Palha Lagoa de Cima
"03, 10, 17 e 24/04/2025",17h às 21h,                                             Oficina de Licenciamento Ambiental e a Educação Ambiental para Gestão Pública – Turma 1                   São João da Barra,Escola Municipal Chrisanto Henrique de Souza            Açu
"07, 09, 14 e 16/04/2025",16h às 20h,                                              Oficina de Licenciamento Ambiental e a Educação Ambiental para Gestão Pública – Turma 1               São Francisco de Itabapoana,Centro Cultural Barracão de Gargaú
07 e 09/04/2025,18h às 22h,                                       Oficina de Licenciamento Ambiental e a Educação Ambiental para Gestão Pública - Turma 1 Carapebus,                                  Sede Pescarte Carapebus
"08, 15, 22 e 29/04/2025",14h às 18h,"                                                 Oficina em Gestão de Empreendimentos Solidários, Controle Social e Contábil dos Empreendimentos Populares - Turma 2        São João da Barra",Sede Pescarte    São João da Barra
09.04.25,09h às 12h,                                            9ª Assembleia Comunitária de Arraial do Cabo,A definir
10.04.25,10h às 13h,                                                 9ª Assembleia Comunitária de Cabo Frio,                           Sede Colônia de Pescadores Z4
12.04.25,09h às 17h,                                          Oficina de Licenciamento Ambiental e a Educação Ambiental para Gestão Pública - Turma 1  Carapebus,Sede Pescarte Carapebus
12 e 26/04/2025,09h às 17h,                                        Oficina de Licenciamento Ambiental e a Educação Ambiental para Gestão Pública - Turma 1         Arraial do Cabo,Sede Pescarte Arraial do Cabo
14.04.25,18h às 20h,                                          19ª Reunião do Grupo de Acompanhamento de Obras Arraial do Cabo,Sede Pescarte  Arraial do Cabo  
14.04.25,18h às 20h,                                            2ª Reunião do Grupo de Acompanhamento de Obras Carapebus,Sede Pescarte Carapebus   
16.04.25,19h às 21h,                                                   5ª Assembleia Comunitária de Rio das Ostras,                                 Sede Pescarte Rio das Ostras
16 e 30/04/2025,                13h30min às 17h30min,                                                   Oficina de Licenciamento Ambiental e a Educação Ambiental para Gestão Pública - Turma 1                       Cabo Frio,                             Colégio Estadual da Praia do Siqueira Cabo Frio
17.04.25,18h às 20h,                                            19ª Reunião do Grupo de Acompanhamento de Obras Macaé,Sede Pescarte Macaé    
17.04.25,18h30min às 20h30min,                                                       2ª Reunião do Grupo de Acompanhamento de Obras de Búzios,Sede Pescarte Búzios   
18.04.25,14h às 17h,                                                          9ª Assembleia Comunitária de Quissamã,Escola Délfica Barra do Furado  
"21, 22, 28 e 29/04/2025",14h às 18h,Oficina de Licenciamento Ambiental e a Educação Ambiental para Gestão Pública – Turma 2 Quissamã,Sede Pescarte de Quissamã
22 e 24/04/2025,18h às 22h,                                        Oficina de Licenciamento Ambiental e a Educação Ambiental para Gestão Pública - Turma 1                    Macaé,Sede Pescarte Macaé    
23.04.25,16h às 18h,                                           20ª Reunião do Grupo de Acompanhamento de Obras São Francisco de Itabapoana ,Sede Pescarte   São Francisco de Itabapoana 
24.04.25,15h às 17h,20ª Reunião do Grupo de Acompanhamento de Obras Campos dos Goytacazes,Sede Pescarte Campos dos Goytacazes  
24.04.25,                18h30min às 20h30min,9ª Assembleia Comunitária de Búzios,S.E.B.             Búzios
25.04.25,18h às 20h,                                          20ª Reunião do Grupo de Acompanhamento de Obras de São João da Barra ,                                Escola Municipal Chrisanto Henrique de Souza            Açu
 26/04/2025,09h às 18h,                                        Oficina de Licenciamento Ambiental e a Educação Ambiental para Gestão Pública - Turma 1                    Macaé,Sede Pescarte Macaé    
28.04.25,18h às 20h,                                                  19ª Reunião do Grupo de Acompanhamento de Obras Cabo Frio,Sede Pescarte Cabo Frio
