DEZEMBRO DE 2024
DATA,HORÁRIO,ATIVIDADE,LOCAL
02.12.24,18h às 20h,                                           Mobilizar e Organizar os Sujeitos Ação Educativa  18ª Reunião do Grupo Gestor de Carapebus,Sede Pescarte Carapebus
03 e 04/12/2024,A definir,                                        Mobilizar e Organizar os Sujeitos Ação Educativa Eleição do Grupo de Acompanhamento de Obras de Búzios,A definir
04 e 05/12/2024,15h às 19h,                             Assembleia Comunitária  Seminário Vozes da Pesca Artesanal – São Francisco de Itabapoana,Clube de Guaxindiba 
06 e 07/12/2024,08h às 18h,Oficina técnica para os grupos de trabalho por empreendimento em processos ligados à sua natureza com os sujeitos da ação educativa Búzios  Aquicultura                   Turma 1 - Módulo 3 ,Unidade Escola de Produção Aquícola (UEPA) Campos dos Goytacazes - UENF
06 e 07/12/2024,09h às 17h,Oficina técnica para os grupos de trabalho por empreendimento em processos ligados à sua natureza com os sujeitos da ação educativa de São João da Barra - Aquicultura Turma 2 – Módulo 3 ,Unidade Escola de Produção Aquícola (UEPA) Campos dos Goytacazes - UENF
06 e 07/12/2024,A definir,                                        Mobilizar e Organizar os Sujeitos Ação Educativa Eleição do Grupo de Acompanhamento de Obras de Rio das Ostras,A definir
06.12.24,14h às 16h,26ª Reunião do Grupo de Trabalho de Quissamã  ,Sede Pescarte Quissamã
07.12.24,09h às 11h,5ª Assembleia Comunitária de Carapebus,                                    Escola Municipal Salim Selem Bichara   Carapebus
 09 e 10/12/2024,08h às 18h,Oficina técnica para os grupos de trabalho por empreendimento em processos ligados à sua natureza com os sujeitos da ação educativa Búzios - Aquicultura                   Turma 2 - Módulo 1,Sede Pescarte Búzios
10.12.24,18h às 21h, 22ª Reunião do Grupo de Trabalho de Arraial do Cabo,Sede Pescarte Arraial do Cabo
11.12.24,16h às 18h,                                           23ª Reunião do Grupo de Trabalho de São Francisco de Itabapoana,                            Sede Pescarte   São Francisco de Itabapoana 
11.12.24,18h às 20h, 23ª Reunião do Grupo de Trabalho de Arraial do Cabo,Sede Pescarte Arraial do Cabo
11.12.24,18h às 20h,                                          23ª Reunião Grupo de Trabalho de Cabo Frio,Colônia de Pescadores Z4 Cabo Frio
12.12.24,15h às 17h,                                                   8ª Assembleia Comunitária de Macaé,Colônia Z-3   Macaé
12.12.24,           18h30min às 20h30min,17ª Reunião do Grupo Gestor de Rio das Ostras,Sede Pescarte    Rio das Ostras
13.12.24,14h às 16h,                                            27ª Reunião do Grupo de Trabalho de Quissamã  ,                                  Barra do Furado Casa Sr. Vilton Quissamã  
13.12.24,15h às 17h,                                           Mobilizar e Organizar os Sujeitos da Ação Educativa 18ª Reunião do Grupo de Acompanhamento de Obras Campos dos Goytacazes,Sede Pescarte Campos dos Goytacazes
13.12.24,12h às 14h,                                            Mobilizar e Organizar os Sujeitos da Ação Educativa 18ª Reunião do Grupo de Acompanhamento de Obras de São João da Barra   ,Balneário de São João da Barra   
13.12.24,18h às 21h,                                             24ª Reunião do Grupo de Trabalho de Arraial do Cabo,Sede Pescarte Arraial do Cabo
13.12.24,     18h30min às 20h30min,                                                    16ª Reunião do Grupo Gestor de Búzios,Sede Pescarte Búzios
