Fevereiro de 2025
DATA,HORÁRIO,ATIVIDADE,LOCAL
"03, 05, 10 e 12/02/2025",14h às 18h,Oficina em Gestão de Empreendimentos Solidários Turma 1 - Campos dos Goytacazes,E. M. Claudia Almeida Pinto de Oliveira – Farol de São Thomé
03 e 05/02/2025,18h às 22h,Oficina em Gestão de Empreendimentos Solidários Turma 1 - Carapebus,Sede Pescarte Carapebus
04 e 06/02/2025,14h às 18h,Oficina de Letramento Digital Básico – Turma 4 Campos dos Goytacazes,Sede Pescarte Campos dos Goytacazes
"04, 11 e 25/02/2025",18h às 22h,Oficina Letramento Digital Básico – Turma 3 Cabo Frio,Sede Pescarte Cabo Frio
08/02/25,09h às 17h,Oficina em Gestão de Empreendimentos Solidários Turma 1 - Carapebus,Sede Pescarte Carapebus
08 e 15/02/2025,09h às 17h,Oficina em Gestão de Empreendimentos Solidários  Turma 1 - Rio das Ostras,Sede Pescarte Rio das Ostras
08 e 15/02/2025,09h às 17h,Oficina de Letramento Digital Básico – Turma 3 Arraial do Cabo, Sede Pescarte Arraial do Cabo
08 e 15/02/2025,09h às 17h,Oficina técnica para os grupos de trabalho por empreendimento em processos ligados à sua natureza com os sujeitos da ação educativa de Quissamã - Aquicultura Turma 2 – Módulo 1,Sede Pescarte Quissamã
10/02/2025,14h às 16h,19ª Reunião do Grupo de Acompanhamento de Obras de Quissamã,Sede Pescarte Quissamã
"10, 12, 14 e 17/02/2025",14h às 18h,Oficina em Gestão de Empreendimentos Solidários Turma 1 - São Francisco de Itabapoana,Centro Cultural Luz da Barra – Barra do Itabapoana
11 e 13/02/2025,18h às 22h,Oficina em Gestão de Empreendimentos Solidários Turma 1 - Macaé,Sede Pescarte Macaé
12/02/2025,18h30min às 20h30min,1ª Reunião do Grupo de Trabalho de Rio das Ostras,Sede Pescarte Rio das Ostras
13/02/2025,15h às 17h,19ª Reunião do Grupo de Acompanhamento de Obras Campos dos Goytacazes,Sede Pescarte Campos dos Goytacazes
13/02/2025,18h às 20h,19ª Reunião do Grupo de Acompanhamento de Obras São João da Barra,Sede Pescarte São João da Barra
13/02/2025,18h30min às 20h30min,1ª Reunião Grupo de Acompanhamento de Obras de Búzios,Sede Pescarte Búzios
15/02/2025,09h às 17h,Oficina em Gestão de Empreendimentos Solidários Turma 1 - Macaé,Sede Pescarte Macaé
26/02/2025,16h às 18h,19ª Reunião do Grupo de Acompanhamento de Obras de São Francisco de Itabapoana,Sede Pescarte São Francisco de Itabapoana
