Maio de 2025
DATA,HORÁRIO,ATIVIDADE,LOCAL
"05, 09, 12 e 14/05/2025",14h às 18h,"Oficina em Gestão de Empreendimentos Solidários, Controle Social e Contábil dos Empreendimentos Populares - Turma 2 Quissamã",Sede Pescarte Quissamã
"06, 07 e 08/05/2025",08h às 18h,Oficina de Letramento Digital – Avançado            Equipe,"Hotel Cravo e Canela, Campos dos Goytacazes"
"12, 13, 14 e 15/05/2025",                14h às 18h,Oficina de Licenciamento Ambiental e a Educação Ambiental para Gestão Pública - Turma 2 Carapebus,Sede Pescarte Carapebus
"12, 14, 19 e 21/05/2025",14h às 18h,"Oficina em Gestão de Empreendimentos Solidários, Controle Social e Contábil dos Empreendimentos Populares - Turma 3        Campos dos Goytacazes",Sede Pescarte Campos dos Goytacazes
"12, 14, 19 e 21/05/2025",18h às 22h,"Oficina em Gestão de Empreendimentos Solidários, Controle Social e Contábil dos Empreendimentos Populares - Turma 2 São Francisco de Itabapoana",Salão da Igreja Católica Nossa Senhora dos Navegantes em Guaxindiba 
"13, 15, 20 e 22/05/2025",14h às 18h,"Oficina em Gestão de Empreendimentos Solidários, Controle Social e Contábil dos Empreendimentos Populares - Turma 4 Campos dos Goytacazes ",Sede Pescarte Campos dos Goytacazes
"13, 15, 20 e 22/05/2025",14h às 18h,"Oficina em Gestão de Empreendimentos Solidários, Controle Social e Contábil dos Empreendimentos Populares - Turma 3 São Francisco de Itabapoana","Casa do Sr. Aldenir, Lagoa Feia  "
"13, 20, 23 e 27/05/2025",18h às 22h,Oficina de Letramento Digital - Turma 1 Búzios  ,Sede Pescarte Búzios
13.05.25,18h30min às 20h30min,2ª Reunião do Grupo de Acompanhamento de Obras de Rio das Ostras,Sede Pescarte Rio das Ostras
14 e 21/05/2025,                13h30min às 17h30min,Oficina de Licenciamento Ambiental e a Educação Ambiental para Gestão Pública - Turma 1 Cabo Frio,Colégio Estadual da Praia do Siqueira Cabo Frio
15.05.25,                18h30min às 20h30min,9ª Assembleia Comunitária de Búzios,S.E.B. Búzios
"15, 22 e 29/05/2025",18h às 22h,Oficina de Letramento Digital - Turma 1 Rio das Ostras  ,Sede Pescarte Rio das Ostras
16.05.25,17h às 22h,27ª Reunião do Grupo de Trabalho de Arraial do Cabo,Sede Pescarte Arraial do Cabo
16.05.25,18h30min às 20h30min,2ª Reunião do Grupo de Acompanhamento de Obras de Búzios,Sede Pescarte Búzios
17 e 24/05/2025,09h às 17h,"Oficina em Gestão de Empreendimentos Solidários, Controle Social e Contábil dos Empreendimentos Populares - Turma 2 Arraial do Cabo",Sede Pescarte Arraial do Cabo
19.05.25,14h às 17h,Assembleia Comunitária de Quissamã,Parque de Exposição de Quissamã
22.05.25,18h às 20h,23ª Reunião do Grupo de Trabalho de São João da Barra,"Escola Municipal Chrisanto Henrique de Souza, Açu"
24 e 31/05/2025,09h às 17h,"Oficina em Gestão de Empreendimentos Solidários, Controle Social e Contábil dos Empreendimentos Populares – Turma 3 Rio das Ostras",Sede Pescarte Rio das Ostras
24 e 31/05/2025,09h às 17h,Oficina de Licenciamento Ambiental e a Educação Ambiental para Gestão Pública - Turma 2 Macaé                      ,Sede Pescarte Macaé
26.05.25,14h às 16h,29ª Reunião do Grupo de Trabalho de Quissamã,Sede Pescarte Quissamã
27 e 29/05/2025,08h às 18h,Oficina de Letramento Digital – Turma 1 São João da Barra ,Sede Pescarte São João da Barra
27.05.25,                18h às 22h,Oficina de Licenciamento Ambiental e a Educação Ambiental para Gestão Pública - Turma 2 Cabo Frio,Sede Pescarte Cabo Frio
28.05.25,16h às 18h,                                          25ª Reunião do Grupo de Trabalho de São Francisco de Itabapoana,Sede Pescarte São Francisco de Itabapoana 
28.05.25,18h às 20h,24ª Reunião do Grupo de Trabalho de Cabo Frio,"Colônia de Pescadores, Cabo Frio"
29.05.25,15h às 17h,                                         27ª Reunião do Grupo de Trabalho de Campos dos Goytacazes,Sede Pescarte Campos dos Goytacazes 
