Março de 2025
DATA,HORÁRIO,ATIVIDADE,LOCAL
08 e 22/03/2025 ,09h às 17h,"Oficina em Gestão de Empreendimentos Solidários, Controle Social e Contábil dos Empreendimentos Populares - Turma 2   Macaé",Sede Pescarte Macaé
"10, 13, 20 e 27/03/2025",18h às 22h,"Oficina em Gestão de Empreendimentos Solidários, Controle Social e Contábil dos Empreendimentos Populares - Turma 1   Búzios",Sede Pescarte Búzios
"11, 18, 25 e 26/03/2025",18h às 22h,"Oficina em Gestão de Empreendimentos Solidários, Controle Social e Contábil dos Empreendimentos Populares - Turma 1  Rio das Ostras",Sede Pescarte Rio das Ostras
11.03.25,18h às 20h,23ª Reunião do Grupo de Trabalho de Macaé,Sede Pescarte Macaé
12 e 14/03/2025,08h às 18h,"Oficina em Gestão de Empreendimentos Solidários, Controle Social e Contábil dos Empreendimentos Populares - Turma 1 São João da Barra",Sede Pescarte São João da Barra 
12.03.25,18h às 20h,24ª Reunião do Grupo de Trabalho de Cabo Frio,Sede Pescarte Cabo Frio
13.03.25,18h às 20h,25ª Reunião do Grupo de Trabalho Arraial do Cabo,Sede Pescarte Arraial do Cabo
14.03.25,18h às 20h,26ª Reunião do Grupo de Trabalho Arraial do Cabo ,Sede Pescarte Arraial do Cabo
15.03.25,09h às 11h,1ª Reunião do Grupo de Trabalho de Carapebus,Sede Pescarte Carapebus
17 e 18/03/2025,08h às 18h,"Oficina técnica para os grupos de trabalho por empreendimento em processos ligados à sua natureza com os sujeitos da ação educativa – Búzios Aquicultura, Turma 2 - Módulo 3",UENF – Campos dos Goytacazes
"17, 19, 24 e 26/03/2025",14h às 18h,"Oficina em Gestão de Empreendimentos Solidários, Controle Social e Contábil dos Empreendimentos Populares - Turma 1 Quissamã",Sede Pescarte Quissamã
"17, 19, 24 e 26/03/2025",18h às 22h,"Oficina em Gestão de Empreendimentos Solidários, Controle Social e Contábil dos Empreendimentos Populares - Turma 2 Carapebus",Sede Pescarte Carapebus
18.03.25,18h às 22h,Oficina de Letramento Digital – Turma 1  Cabo Frio    ,Sede Pescarte Cabo Frio
19.03.25,17h às 20h,9ª Assembleia Comunitária de São Francisco de Itabapoana,Centro Cultural Barracão de Gargaú 
20.03.25,14h às 16h,28ª Reunião do Grupo de Trabalho de Quissamã,Sede Pescarte Quissamã
20.03.25,15h às 17h,26ª Reunião do Grupo de Trabalho de Campos dos Goytacazes,Sede Pescarte Campos dos Goytacazes
20.03.25,18h às 20h,22ª Reunião do Grupo de Trabalho de São João da Barra,Sede Pescarte   São João da Barra
22.03.25,09h às 11h,2ª Reunião do Grupo de Trabalho de Rio das Ostras,Sede Pescarte   Rio das Ostras
22 e 29/03/2025,09h às 17h,"Oficina em Gestão de Empreendimentos Solidários, Controle Social e Contábil dos Empreendimentos Populares - Turma 1    Arraial do Cabo",Sede Pescarte Arraial do Cabo
22 e 29/03/2025,09h às 17h,"Oficina em Gestão de Empreendimentos Solidários, Controle Social e Contábil dos Empreendimentos Populares - Turma 1 Cabo Frio ",Sede Pescarte Cabo Frio
25.03.25,18h30min às 20h30min,1ª Reunião do Grupo de Trabalho de Búzios ,Sede Pescarte Búzios
25.03.25,18h às 22h,Oficina de Letramento Digital - Turma 2 Cabo Frio,Sede Pescarte Cabo Frio
26.03.25,16h às 18h,24ª Reunião do Grupo de Trabalho de São Francisco de Itabapoana,Sede Pescarte   São Francisco de Itabapoana
27.03.25,18h às 21h,9ª Assembleia Comunitária de São João da Barra,Salão da Igreja da Penha de São João da Barra
28.03.25,15h às 18h,9ª Assembleia Comunitária de Campos dos Goytacazes,   Salão de Festas Stillus – Vila do Sol  Farol de São Thomé                  
28.03.25,18h30min às 20h30min,2ª Reunião do Grupo de Trabalho de Búzios,Sede Pescarte Búzios
