Novembro de 2024
DATAS,HORÁRIO,ATIVIDADE,LOCAL
01.11.24,09h às 17h,Oficina técnica para os grupos de trabalho por empreendimento em processos ligados à sua natureza com os sujeitos da ação educativa de São João da Barra - Aquicultura Turma 2 – Módulo 2 ,Sede Pescarte   São João da Barra 
04 e 06/11/2024,14h às 18h,                                        Oficina de Letramento Digital – Intermediário   Carapebus – Turma 2,Sede Pescarte Carapebus
04.11.24,15h às 17h,                                          23ª Reunião do Grupo de Trabalho de Campos dos Goytacazes ,Escola Municipal APIC – Farol Terminal Pesqueiro
04.11.24,15h às 17h,                                          23ª Reunião do Grupo de Trabalho de Quissamã ,                                   Escola Municipal APIC – Farol Terminal Pesqueiro
05 e 06/11/2024,08h às 18h,Oficina técnica para os grupos de trabalho por empreendimento em processos ligados à sua natureza com os sujeitos da ação educativa de Cabo Frio Aquicultura – Turma 1 Módulo 3,"Unidade Escola de Produção Aquícola (UEPA), Campos dos Goytacazes - UENF"
"05, 06, 11 e 12/11/2024",14h às 18h,                                               Oficina em Gestão de Empreendimentos Solidários: Gestão Ambiental Pública dos Recursos Pesqueiros       Turma 4 – Quissamã,Sede Pescarte Quissamã  
"05, 07, 12 e 14/11/2024",18h às 22h,                                            Oficina de Letramento Digital – Intermediário Macaé – Turma 2,Sede Pescarte Macaé
"05, 12, 19 e 26/11/2024",14h às 18h,                                     Oficina em Gestão de Empreendimentos Solidários: Gestão Ambiental Pública dos Recursos Pesqueiros       Turma 3 – São João da Barra,                         Sede Pescarte    São João da Barra
"05, 12, 19 e 26/11/2024",18h às 22h,                                       Oficina de Gestão em Empreendimentos Solidários: Gestão Financeira e Contábil dos Empreendimentos - Turma 4 Búzios,Sede Pescarte Búzios
06.11.24,16h às 18h,                                          Mobilizar e Organizar os Sujeitos da Ação Educativa Reunião de Grupo de Acompanhamento de Obras de São Francisco de Itabapoana,Sede Pescarte    São Francisco de Itabapoana 
06.11.24,            19h30min às 21h30min,4ª Assembleia Comunitária de Rio das Ostras,Sede Pescarte    Rio das Ostras
07.11.24,09h às 11h,Mobilizar e Organizar os Sujeitos da Ação Educativa Campos dos Goytacazes,Escola Municipal Helena Machado de Oliveira
07.11.24,            18h30min às 20h30min,15ª Reunião do Grupo Gestor de Armação dos Búzios,S.E.B.                Búzios
08 e 09/11/2024,09h às 18h,Oficina técnica para os grupos de trabalho por empreendimento em processos ligados à sua natureza com os sujeitos da ação educativa de Arraial do Cabo - Aquicultura        Turma 1 - Módulo 2 ,Sede Pescarte Arraial do Cabo 
09.11.24,09h às 18h,                                        Oficina de Letramento Digital – Intermediário   Carapebus – Turma 2,Sede Pescarte Carapebus
09 e 23/11/2024,09h às 18h,Oficina técnica para os grupos de trabalho por empreendimento em processos ligados à sua natureza com os sujeitos da ação educativa de Rio das Ostras - Aquicultura     Turma 1 - Módulo 3,"Unidade Escola de Produção Aquícola (UEPA), Campos dos Goytacazes - UENF"
09 e 23/11/2024,09h às 17h,                                              Oficina em Gestão de Empreendimentos Solidários: Gestão Financeira e Contábil dos Empreendimentos       Turma 4 – Cabo Frio,Sede Pescarte Cabo Frio
"11, 13, 18 e 19/11/2024",18h às 22h,                                             Oficina de Gestão em Empreendimentos Solidários: Gestão Financeira e Contábil dos Empreendimentos              Turma 4 – Carapebus,Sede Pescarte Carapebus 
14.11.24,09h às 11h,                                     Mobilizar e Organizar os Sujeitos da Ação Educativa Campos dos Goytacazes,Ciep Francisco Portela - Tocos
14 e 21/11/2024,09h às 17h,Oficina técnica para os grupos de trabalho por empreendimento em processos ligados à sua natureza com os sujeitos da ação educativa de São Francisco de Itabapoana Aquicultura - Turma 1 Módulo 3 ,"Unidade Escola de Produção Aquícola (UEPA), Campos dos Goytacazes - UENF"
18.11.24,14h às 15h,                                            Mobilizar e Organizar os Sujeitos Ação Educativa Reunião do Grupo Gestor de Carapebus,Sede Pescarte Carapebus
18.11.24,15h às 17h,                                          24ª Reunião do Grupo de Trabalho de Campos dos Goytacazes ,Escola Municipal APIC – Farol – Terminal Pesqueiro
18.11.24,15h às 17h,                                          24ª Reunião do Grupo de Trabalho de Quissamã ,Escola Municipal APIC – Farol – Terminal Pesqueiro
18.11.24,18h às 20h,17ª Reunião do Grupo de Acompanhamento de Obras de Cabo Frio,                                   Sede Pescarte Cabo Frio
21.11.24,14h às 16h,                                     Mobilizar e Organizar os Sujeitos da Ação Educativa Campos dos Goytacazes,Ciep Francisco Portela - Tocos
22 e 23/11/2024,08h às 18h,Oficina técnica para os grupos de trabalho por empreendimento em processos ligados à sua natureza com os sujeitos da ação educativa Armação dos Búzios Aquicultura Turma 1 - Módulo 2,Sede Pescarte Búzios
22.11.24,18h às 20h,                                            Mobilizar e Organizar os Sujeitos Ação Educativa Reunião do Grupo Gestor de Búzios,Sede Pescarte Búzios
25.11.24,18h30min às 20h30min,                                   Mobilizar e Organizar os Sujeitos Ação Educativa Reunião do Grupo Gestor de Rio das Ostras,Sede Pescarte Rio das Ostras
27.11.24,16h às 18h,                                                  22ª Reunião do Grupo de Trabalho de São Francisco de Itabapoana,Sede Pescarte    São Francisco de Itabapoana 
27.11.24,18h às 20h,                                         22ª Reunião do Grupo de Trabalho de Macaé,Colônia Z-3
28.11.24,09h às 11h,Mobilizar e Organizar os Sujeitos da Ação Educativa Campos dos Goytacazes,Escola Municipal Helena Machado de Oliveira               Campos dos Goytacazes
28.11.24,15h às 17h,"Sessão de Encontros: mulheres e direitos, articulação do Núcleo de Direitos e Benefícios (NDB PEA Pescarte)",Virtual
28 e 29/11/2024,A definir,                                        Mobilizar e Organizar os Sujeitos Ação Educativa Eleição do Grupo de Acompanhamento de Obras de Carapebus,A definir
29.11.24,15h às 17h,                                               25ª Reunião do Grupo de Trabalho de Campos dos Goytacazes ,Escola Municipal APIC – Farol Terminal Pesqueiro
29.11.24,15h às 17h,                                         25ª Reunião do Grupo de Trabalho de Quissamã ,                               Escola Municipal APIC – Farol Terminal Pesqueiro
