Setembro de 2024,,,
DATA,HORARIO,ATIVIDADE,LOCAL
02.09.24,18h,17ª Reunião do GAO,Sede Pescarte Arraial do Cabo
02.09.24,18h,T01 - Oficina de Gestão em Análise de Risco dos Empreendimentos,Sede PEA Pescarte Carapebus
03.09.24,8h,Oficina -Gestão Financeira -  Turma 02,"Sede do PEA Rede Observação. Rua B q 53 lote 3, Chavão. Cabo Frio"
03.09.24,9h,Oficina de Aquicultura na UEPA - Módulo III - Campos dos Goytacazes T04,"Universidade Estadual do Norte Fluminense – UENF, Av. Alberto Lamego, 2000 - Parque California, Campos dos Goytacazes - RJ, 28013-602, Brasil"
03.09.24,15h,"Oficina em Gestão de empreendimentos solidários, gestão financeira e contábil dos empreendimentos SJB - T02","Escola Municipal Chrisanto Henrique De Souza, R. Manoel Francisco de Almeida, 43 - praia do Açu, São João da Barra - RJ, 28200, Brasil"
03.09.24,18h,Oficina de Gestão Financeira e Contábil – Búzios T03,Sede Pescarte Buzios
03.09.24,18h,T3-Oficina de Gestão em Empreendimentos Solidários: Gestão Financeira e Contábil dos Empreendimentos ,SEDE MACAÉ
04.09.24,13h,Oficina de Gestão Financeira  - Turma 03,"Colégio Estadual Praia Do Siqueira, R. Luiz Feliciano Cardoso, s/n - Praia do Siqueira, Cabo Frio - RJ, 28912-090, Brasil"
04.09.24,16h,17ª Reunião do GAO de SFI,Sede PEA Pescarte São Francisco 
04.09.24,18h,Oficina de Gestão em Empreendimentos Solidários: Gestão Financeira e Contábil dos Empreendimentos - Turma 03,Sede PEA Pescarte - Rio das Ostras
04.09.24,18h,T1 - Oficina de Gestão em Análise de Risco dos Empreendimentos,SEDE CARAPEBUS
05.09.24,9h,Oficina de Gestão Financeira - Turma 4,"R. Sr. dos Passos, 243 - Chatuba, São João da Barra - RJ, 28200-000, Brasil ( sede SJB)"
05.09.24,14h,Turma II de Análise de Risco Quissamã. ,"Rua do Canal, R. do Canal - Barra do Furado, Quissamã - RJ, 28735-000, Brasil"
05.09.24,15h,17ª Reunião Ordinária do GAO,"Rua Marechal Deodoro, 55, sede do PEA Pescarte "
